student_roll,attendance,cat1,cat2,assignment_quiz
student1,95,45,42,28
student2,82,32,35,22
student3,58,15,18,10
STU-104,88,40,38,25
STU-105,96,48,49,29
STU-106,75,28,30,20
STU-107,92,42,45,26
STU-108,65,22,25,18
STU-109,85,38,36,24
STU-110,99,50,48,30
STU-111,70,26,28,19
STU-112,89,41,39,27
STU-113,91,44,40,25
STU-114,80,33,35,21
STU-115,77,29,25,18
STU-116,94,46,44,28
STU-117,62,20,22,15
STU-118,84,36,34,23
STU-119,87,39,41,26
STU-120,98,49,50,29
STU-121,72,25,27,18
STU-122,90,43,42,27
STU-123,81,34,36,22
STU-124,76,30,29,20
STU-125,55,12,15,8
STU-126,86,37,39,25
STU-127,93,45,47,28
STU-128,79,31,33,21
STU-129,88,40,42,26
STU-130,68,24,26,17
STU-131,95,47,46,29
STU-132,83,35,37,23
STU-133,74,27,25,19
STU-134,91,42,44,27
STU-135,60,18,20,12
STU-136,89,41,38,25
STU-137,97,48,50,30
STU-138,78,32,30,21
STU-139,85,39,37,24
STU-140,71,26,29,18
STU-141,92,44,45,28
STU-142,80,34,32,22
STU-143,66,21,24,16
STU-144,87,40,41,26
STU-145,96,49,48,29
STU-146,75,29,31,20
STU-147,90,43,40,27
STU-148,82,36,38,23
STU-149,69,23,25,17
STU-150,94,46,47,28
STU-151,84,38,35,24
STU-152,77,30,32,21
STU-153,98,50,49,30
STU-154,73,28,26,19
STU-155,88,41,43,26
STU-156,64,19,21,14
STU-157,93,45,44,28
STU-158,81,35,33,22
STU-159,86,39,40,25
STU-160,59,16,18,11
STU-161,95,48,46,29
STU-162,79,33,35,22
STU-163,91,42,45,27
STU-164,67,22,24,16
STU-165,85,37,39,24
STU-166,97,49,50,30
STU-167,74,27,29,19
STU-168,89,40,42,26
STU-169,83,36,34,23
STU-170,90,44,43,28
